New Report																											
----------																											
	Ap [µm²]	CIT [%]	E* [MPa]	EIT [MPa]	Epsilon	Er [MPa]	F/S² [µm²/µN]	Fmax [µN]	HIT [kPa]	HVIT [Vickers]	Poisson's ratio (?)	R2	RIT [%]	S [µN/µm]	Welast [pJ]	Wplast [pJ]	Wtotal [pJ]	hc [µm]	hmax [µm]	hp [µm]	hr [µm]	m	nIT [%]	Temperature [°C]	X position [mm]	Y position [mm]	Z position [mm]
Measurement 79	104142.0859	79.52008057	0.724706233	0.659482658	0.726999998	0.724704802	0.007126176	496.2668152	4.765285969	0.000485758	0.300000012	1.164815307	-6.287809372	263.8938904	790.1723633	10488.79395	11278.96582	34.32785416	35.69501877	-21.89321518	33.81446457	30.62300682	7.005716324	0	11.98846722	40.99960709	7.816423416
Measurement 80	122104.9375	77.15541077	0.679499805	0.618344784	0.726999998	0.679498553	0.006981497	501.1513672	4.104268074	0.000418376	0.300000012	1.177409411	-6.67472887	267.9231262	784.8571777	12211.82813	12996.68555	40.50811386	41.86796951	-21.25139427	39.99746323	33.74456787	6.03890276	0	11.98846722	41.09960556	7.830980778
Measurement 81	133987.9844	81.29055786	0.593787193	0.540346384	0.726999998	0.59378624	0.008335842	501.4016113	3.742138863	0.000381462	0.300000012	1.195082188	-7.205261231	245.2551422	852.1989746	13890.38965	14742.58887	44.64266586	46.1289444	-25.04995537	44.08454132	34.81638718	5.780524731	0	11.98846722	41.19960785	7.854104519
Measurement 82	137784.8594	89.72961426	0.542072773	0.493286192	0.726999998	0.542071939	0.009648479	497.3754272	3.609797716	0.000367971	0.300000012	1.196944952	-7.051761627	227.0454254	881.8920288	14738.125	15620.01758	45.97167587	47.56427002	-28.61342239	45.37362671	34.77412796	5.645909309	0	11.98846722	41.29960632	7.886634827
Measurement 83	105779.7891	59.078022	0.72035104	0.655519426	0.726999998	0.72034961	0.007118716	497.5092163	4.703253746	0.000479435	0.300000012	1.132025719	-6.209630966	264.3624268	810.3600464	9513.484375	10323.84375	34.88792038	36.25607681	-16.37331581	34.37415314	27.96578026	7.849402905	0	11.98846722	40.79960632	7.803517342
Measurement 84	101892.0781	72.20363617	0.746982873	0.679754436	0.726999998	0.746981382	0.006934218	501.9581909	4.926371098	0.000502179	0.300000012	1.135460854	-6.206188202	269.0512695	805.5390625	10065.77051	10871.30957	33.55949402	34.9158287	-17.84226227	33.05016708	28.27851105	7.409770966	0	11.98846722	40.69960785	7.810251713
Measurement 85	98325.42969	71.98035431	0.846414268	0.770237029	0.726999998	0.846412301	0.005540777	496.9476013	5.054110527	0.0005152	0.300000012	1.141161561	-6.245165348	299.4814758	721.0663452	9706.006836	10427.07227	32.34409332	33.55045319	-14.72332382	31.89109039	29.0918026	6.91532898	0	11.98846722	40.59960938	7.820902824
Measurement 86	102272.1094	71.79720306	0.89232558	0.812016249	0.726999998	0.892323375	0.004812765	499.006897	4.879207611	0.000497371	0.300000012	1.153639913	-6.149439335	322.000061	658.5556641	9980.242188	10638.79785	33.6891861	34.81582642	-13.63114929	33.26611328	31.26195145	6.190132141	0	11.98846722	40.49960709	7.839360714
Measurement 87	114143.1406	80.33665466	0.796140254	0.724487603	0.726999998	0.796138525	0.005455182	502.5119629	4.402471542	0.000448774	0.300000012	1.21480751	-6.174012184	303.5069275	709.1303101	11808.93066	12518.06152	37.75860214	38.96228409	-20.58638954	37.30659866	35.96617508	5.664857388	0	12.08846664	40.8996048	7.849979878
Measurement 88	122143.2891	86.58552551	0.748252213	0.680909514	0.726999998	0.748250663	0.005769976	502.3981323	4.113185883	0.000419285	0.300000012	1.222801328	-6.844425201	295.0780945	706.942688	12851.87402	13558.81738	40.52139664	41.75918198	-22.51511574	40.05659103	37.75081635	5.213896275	0	12.08846664	40.99960709	7.86063242
Measurement 89	107194.7578	87.22386169	0.820617259	0.74676168	0.726999998	0.820615411	0.005451458	501.0437927	4.674144745	0.000476467	0.300000012	1.190755367	-5.986897945	303.1667175	700.2435303	11251.80957	11952.05273	35.3723526	36.5738678	-19.36216354	34.92116547	33.84523392	5.858772278	0	12.08846664	40.79960632	7.851736069
Measurement 90	109008.5313	86.59313202	0.917993009	0.83537364	0.726999998	0.917990685	0.004304336	503.4465637	4.618413925	0.000470786	0.300000012	1.184436798	-6.297875881	341.9980164	614.6776123	11637.13477	12251.8125	35.99406433	37.06426239	-13.97729588	35.59218597	34.67321777	5.017034054	0	12.08846664	40.69960785	7.860785961
Measurement 91	85097.03906	51.00227737	0.693334222	0.630934179	0.726999998	0.693332911	0.009559108	497.8810425	5.850744724	0.000596406	0.300000012	1.133536935	-6.310337067	228.2202148	964.2484741	6912.452637	7876.701172	27.86360741	29.44961739	-25.95382118	27.26803589	25.39599419	12.24178123	0	11.48846722	40.8996048	7.652699471
Measurement 92	91654.30469	52.69258118	0.744718134	0.677693486	0.726999998	0.744716644	0.007679507	497.0252686	5.42282486	0.000552785	0.300000012	1.130214691	-6.451516628	254.4031982	857.4754639	7682.537109	8540.012695	30.07923126	31.49956322	-18.90417862	29.54587173	25.79923821	10.04068089	0	11.48846722	40.99960709	7.668060303
Measurement 93	95658.65625	57.38067245	0.799572349	0.727610827	0.726999998	0.79957062	0.006426519	500.4075928	5.231179714	0.00053325	0.300000012	1.129099131	-6.567173481	279.0448608	767.9085693	8209.160156	8977.069336	31.43740463	32.74112701	-14.76720047	30.94783783	26.49231148	8.554112434	0	11.48846722	41.09960556	7.690468788
Measurement 94	88971.58594	78.44446564	0.909035862	0.827222645	0.726999998	0.909033597	0.005308157	496.8955688	5.584879398	0.000569305	0.300000012	1.144287586	-6.635004997	305.9571838	682.8100586	8724.458008	9407.267578	29.17150879	30.35220909	-16.1599865	28.72813988	28.63929749	7.2583251	0	11.48846722	41.19960785	7.72142601
Measurement 95	88323.30469	97.71640778	0.948524654	0.863157451	0.726999998	0.94852221	0.004978102	503.6678162	5.702547073	0.000581299	0.300000012	1.149803042	-5.718777657	318.0827942	654.9358521	9642.942383	10297.87793	28.9524231	30.1035881	-17.21742821	28.52013969	29.88478088	6.359910488	0	11.48846722	41.29960632	7.760191917
Measurement 96	104316.9922	89.59996033	1.027900696	0.935389638	0.726999998	1.027897835	0.003530108	495.3965454	4.748953819	0.000484093	0.300000012	1.172127843	-6.519893169	374.6127319	517.1622314	10880.88477	11398.04688	34.38763809	35.34904099	-9.349928856	34.02661514	33.80080414	4.537288666	0	11.48846722	41.39960861	7.806752682
Measurement 97	119042.6797	99.63031006	0.907091856	0.825453579	0.726999998	0.907089651	0.004040249	503.873291	4.232711315	0.000431469	0.300000012	1.185897112	-7.240223408	353.1478882	550.2494507	13238.49121	13788.74121	39.44865799	40.48594666	-8.070768356	39.05913925	34.0317688	3.990571022	0	11.48846722	41.49960709	7.862766743
Measurement 98	123946.2266	97.69630432	0.793704033	0.722270668	0.726999998	0.793702364	0.005056405	502.6903687	4.055713654	0.000413427	0.300000012	1.179675102	-6.804970264	315.3039246	608.8197021	13771.53711	14380.35645	41.14632797	42.30538177	-13.21642876	40.71107864	34.82510376	4.233690262	0	11.48846722	41.59960556	7.934381962
Measurement 99	122973.3203	105.8559113	0.695592701	0.632989287	0.726999998	0.69559139	0.006543239	495.7037048	4.030985832	0.000410906	0.300000012	1.12428391	-6.495761395	275.2420044	686.3824463	13703.67578	14390.05762	40.80899811	42.11830521	-9.657661438	40.31733322	28.74886703	4.769837856	0	11.48846722	41.69960785	8.013777733
Measurement 100	127063.2031	115.455368	0.704669893	0.641249538	0.726999998	0.704668522	0.006170913	495.7343445	3.901478529	0.000397704	0.300000012	1.165482998	-6.777338028	283.4325867	666.7457275	14383.41113	15050.15625	42.22873688	43.5002861	-12.26988983	41.75125122	31.88620377	4.430158138	0	11.48846722	41.79960632	8.102566719
Measurement 101	76883.71094	53.03887939	0.7316311	0.665784299	0.726999998	0.73162967	0.009532541	499.5003052	6.49682951	0.000662266	0.300000012	1.134292841	-5.644940853	228.9093628	954.2706909	6523.617188	7477.887695	25.10300255	26.68938065	-29.49672318	24.5072937	25.74878311	12.76123238	0	11.48846722	40.79960632	7.64912653
Measurement 102	74651.03906	53.4057045	0.767542779	0.698463857	0.726999998	0.767541111	0.008927131	499.8748169	6.696153164	0.000682584	0.300000012	1.12362504	-6.122122288	236.6326447	913.4334717	6577.347168	7490.780273	24.35534668	25.89109802	-27.18805504	23.77864838	25.12681198	12.19410229	0	11.48846722	40.69960785	7.652786732
Measurement 103	74898.73438	47.04714584	0.804796636	0.732364953	0.726999998	0.804794848	0.008135028	502.4745483	6.708718777	0.000683865	0.300000012	1.12256515	-5.469501972	248.5292511	877.8319702	6429.936523	7307.768555	24.43823433	25.90807724	-23.46335983	23.88628578	24.41963768	12.01231194	0	11.48846722	40.59960938	7.663477898
Measurement 104	66263.88281	45.74973679	0.872176051	0.793680191	0.726999998	0.872174025	0.007780408	499.3391418	7.535615921	0.000768157	0.300000012	1.113498926	-6.166536331	253.3358459	846.814209	5574.889648	6421.703613	21.55715752	22.99011612	-23.65854454	21.01906013	23.66683578	13.18675423	0	11.48846722	40.49960709	7.683514595
Measurement 105	62106.35938	36.74891281	1.202666044	1.094426155	0.726999998	1.20266211	0.004357567	498.3994446	8.024933815	0.000818036	0.300000012	1.138057947	-5.100564003	338.1946411	678.2345581	4757.682129	5435.916504	20.17614365	21.24752808	-17.27047539	19.77382278	26.13683319	12.47691345	0	11.48846722	40.3996048	7.709831238
Measurement 106	87880.30469	34.36385345	1.11260426	1.012469888	0.726999998	1.112600923	0.003619541	501.3418274	5.704825878	0.000581532	0.300000012	1.191305399	-6.293484688	372.1690369	614.4006958	6353.997559	6968.397949	28.8027668	29.78209305	-14.87623215	28.43501282	33.15192795	8.816957474	0	11.48846722	40.29960632	7.739311695
Measurement 107	86277.73438	45.93876266	1.227325201	1.116865993	0.726999998	1.227321148	0.003008881	497.8864441	5.770740509	0.000588251	0.300000012	1.340955019	-5.758935452	406.7828369	584.2967529	7125.394531	7709.691406	28.26178169	29.15160179	-23.84197998	27.92764091	43.29677963	7.578730583	0	11.48846722	40.19960403	7.775012016
Measurement 108	102863.4844	55.84780121	1.049309492	0.954871655	0.726999998	1.049306512	0.003449873	497.4840698	4.836352348	0.000493002	0.300000012	1.352408409	-6.701624394	379.7414551	607.2234497	9125.177734	9732.401367	33.89106369	34.84347916	-23.71151733	33.53342056	44.69642639	6.239194393	0	11.48846722	40.09960938	7.816959858
Measurement 109	96856.76563	79.7456131	1.190308929	1.083181024	0.726999998	1.190304995	0.00286421	500.4510193	5.166917801	0.000526699	0.300000012	1.331195593	-6.288402557	418.0019836	493.3329468	9939.341797	10432.6748	31.84454155	32.71493912	-19.21266556	31.51769066	43.37255859	4.728729248	0	11.48846722	39.99960709	7.872919083
Measurement 110	71940.90625	69.79170227	1.041668177	0.947918057	0.726999998	1.041665196	0.005009801	497.9237061	6.921287537	0.000705534	0.300000012	1.111505985	-5.724785805	315.2616882	665.0402832	6943.212891	7608.25293	23.44937325	24.59759521	-13.39748001	23.01819801	24.05668068	8.741038322	0	11.38846684	40.8996048	7.64840889
Measurement 111	79982.33594	61.20855331	1.027774572	0.935274899	0.726999998	1.027771711	0.004629385	497.9902344	6.226253033	0.000634684	0.300000012	1.122157693	-6.149942875	327.9810791	633.0582886	7127.364746	7760.422363	26.14260292	27.24644279	-11.72615051	25.72809219	25.66771889	8.157523155	0	11.38846684	40.99960709	7.663756371
Measurement 112	85848.44531	61.15010452	1.002136231	0.911943913	0.726999998	1.002133489	0.00449852	493.8139038	5.752158165	0.000586357	0.300000012	1.111936569	-5.287297726	331.319397	613.4038696	7568.934082	8182.337402	28.11697197	29.20052719	-8.950888634	27.7100811	25.5973053	7.496682644	0	11.38846684	41.09960556	7.686104775
Measurement 113	84454.1875	72.35588837	1.003847241	0.913501024	0.726999998	1.0038445	0.004561696	494.2999268	5.852876663	0.000596624	0.300000012	1.110437393	-6.430845738	329.1789856	611.0165405	7935.569336	8546.585938	27.64695549	28.73862839	-9.204249382	27.23701477	25.26805496	7.14924717	0	11.38846684	41.19960785	7.717065334
Measurement 114	88694.07031	83.27709961	0.998731256	0.908845425	0.726999998	0.998728573	0.004422128	498.1165466	5.616120338	0.000572489	0.300000012	1.122129202	-5.867500305	335.6215515	595.6002197	8901.264648	9496.864258	29.07771111	30.15669823	-10.82581997	28.67253685	27.61324692	6.271546364	0	11.38846684	41.29960632	7.754272938
Measurement 115	102051.4297	78.85962677	0.991795421	0.902533829	0.726999998	0.991792738	0.003894697	497.7882996	4.877818584	0.000497229	0.300000012	1.157650352	-5.932933807	357.5078125	549.3911743	10212.77246	10762.16309	33.61386871	34.62613297	-9.846529007	33.23374939	31.93992996	5.104840279	0	11.38846684	41.39960861	7.802424908
Measurement 116	115136.8438	90.205513	0.913691998	0.831459761	0.726999998	0.913689733	0.004122772	504.558136	4.382247925	0.000446712	0.300000012	1.169076085	-7.040699005	349.8331604	552.1363525	12401.31934	12953.45508	38.10086823	39.14940643	-7.759361267	37.70712662	32.52398682	4.262464047	0	11.38846684	41.49960709	7.859999657
Measurement 117	120671.3281	96.32516479	0.802221775	0.730021834	0.726999998	0.802219987	0.005094245	503.7104797	4.174234867	0.000425508	0.300000012	1.162293911	-6.343104839	314.4492798	613.9157104	13378.50098	13992.41699	40.01182175	41.1763916	-11.23988438	39.57450867	32.72169495	4.387488842	0	11.38846684	41.59960556	7.934737682
Measurement 118	118370.3984	104.1140442	0.70859921	0.64482528	0.726999998	0.708597839	0.006525809	493.8410034	4.171997547	0.00042528	0.300000012	1.118489504	-6.570463181	275.0910339	685.7088013	13053.83203	13739.54102	39.2163887	40.521492	-10.68075752	38.7263031	28.52189255	4.990769863	0	11.38846684	41.69960785	8.021941185
Measurement 119	78496.05469	62.58012009	0.931959927	0.848083496	0.726999998	0.931957543	0.005762582	500.2272034	6.372641563	0.000649607	0.300000012	1.12208271	-5.951113224	294.6287231	717.3616333	7294.050293	8011.412109	25.64366531	26.87798119	-16.08375931	25.18015862	25.30402756	8.954247475	0	11.38846684	40.79960632	7.643496513
Measurement 120	78285.33594	61.3811264	0.889341474	0.809300721	0.726999998	0.889339387	0.006359605	501.3669128	6.404353142	0.000652839	0.300000012	1.119902015	-5.600921154	280.7778015	759.6572266	7370.908691	8130.566406	25.57297134	26.87112808	-16.79046249	25.08549118	24.45156288	9.343226433	0	11.38846684	40.69960785	7.647868156
Measurement 121	80848.71094	51.3666687	0.896672487	0.815971911	0.726999998	0.896670342	0.006000424	496.6274719	6.14267683	0.000626165	0.300000012	1.114089489	-6.14559269	287.6897583	729.0929565	6857.70166	7586.794434	26.43368149	27.68867302	-14.70457745	25.96241188	24.55785179	9.61002636	0	11.38846684	40.59960938	7.656980991
Measurement 122	67293.78906	55.94702911	0.994024634	0.904562354	0.726999998	0.994021952	0.005880403	497.8335266	7.397911549	0.000754119	0.300000012	1.114378452	-6.047640324	290.963501	736.5708008	6119.648926	6856.219727	21.89988327	23.14376831	-16.78230667	21.43278503	23.33517075	10.74310398	0	11.38846684	40.49960709	7.677034855
Measurement 123	64202.24609	51.17676544	1.140795469	1.038123965	0.726999998	1.140792012	0.004664781	496.2546082	7.729551792	0.000787926	0.300000012	1.125571013	-5.294787884	326.1644592	673.6505737	5598.20166	6271.852051	20.87184334	21.97796249	-16.37887192	20.45647812	25.21011734	10.74085617	0	11.38846684	40.3996048	7.704907894
Measurement 124	79375.05469	49.33703232	1.152038693	1.048355222	0.726999998	1.152035117	0.003725122	499.6502991	6.294802666	0.000641672	0.300000012	1.14286983	-5.721925736	366.2374878	592.7077026	6658.956055	7251.663574	25.93868065	26.93051147	-12.69653606	25.56623077	29.04613495	8.17340374	0	11.38846684	40.29960632	7.737448692
Measurement 125	86040.36719	62.30702591	1.261213779	1.147704482	0.726999998	1.261209369	0.002896802	504.7839966	5.866827011	0.000598046	0.300000012	1.240376115	-6.095669746	417.4393311	539.7808838	8352.05957	8891.839844	28.18170738	29.06082344	-17.47784042	27.85158348	38.48590851	6.070519924	0	11.38846684	40.19960403	7.774700165
Measurement 126	109349.3125	55.78499603	1.201738715	1.093582273	0.726999998	1.201734901	0.002489796	500.6189575	4.578163147	0.000466683	0.300000012	1.429840684	-5.489854813	448.4063721	458.7227173	9203.977539	9662.700195	36.11096573	36.92261887	-14.81108284	35.80617905	46.33808136	4.747355938	0	11.38846684	40.09960938	7.821344376
Measurement 127	85777.72656	64.50088501	1.032077789	0.939190805	0.726999998	1.032074928	0.004337611	504.6121521	5.882787705	0.000599673	0.300000012	1.113150954	-5.544075489	341.0778809	613.6052856	7933.717773	8547.323242	28.09312248	29.16869164	-9.913166046	27.68922806	26.4162426	7.178917885	0	11.28846645	40.8996048	7.650711536
Measurement 128	126915.6641	32.60554886	0.826241493	0.751879752	0.726999998	0.826239646	0.004479031	494.1074829	3.893195152	0.00039686	0.300000012	1.119704247	-6.458589554	332.138092	594.3273926	7502.422852	8096.75	42.17744827	43.25897217	0.791633427	41.77131653	28.54646492	7.340320587	0	11.28846645	40.99960709	7.667638779
Measurement 129	95930.10938	50.94026566	0.948014855	0.862693548	0.726999998	0.948012412	0.0045171	495.8529663	5.168898106	0.000526901	0.300000012	1.106954455	-5.425376892	331.3191833	615.40448	7627.689453	8243.094727	31.52961731	32.61764908	-6.769527435	31.12104607	26.31773567	7.465697289	0	11.28846645	41.09960556	7.689249992
Measurement 130	77254.90625	83.67855835	1.008484006	0.917720497	0.726999998	1.008481264	0.004949916	495.1875305	6.409787655	0.000653393	0.300000012	1.106350541	-6.256307125	316.2903442	639.6887817	7746.154785	8385.84375	25.22742081	26.36561775	-10.54259682	24.80000877	23.57432747	7.628198147	0	11.28846645	41.19960785	7.720263958
Measurement 131	83071.57031	86.24097443	1.001178265	0.911072195	0.726999998	1.001175523	0.004672833	495.4082642	5.963632107	0.000607914	0.300000012	1.111495256	-5.751566887	325.6053162	614.5458374	8457.197266	9071.743164	27.18132401	28.2874527	-11.0567894	26.76595497	25.85886383	6.77428627	0	11.28846645	41.29960632	7.760550499
Measurement 132	96700.96875	89.55203247	1.008892655	0.91809237	0.726999998	1.008889914	0.00402168	504.0062866	5.212008953	0.000531296	0.300000012	1.129477263	-5.846700192	354.0089722	559.6932983	10348.93652	10908.63086	31.79157639	32.82661438	-8.984417915	31.4029026	29.36764908	5.130738735	0	11.28846645	41.39960861	7.808740139
Measurement 133	110650.0234	91.98194885	0.957643151	0.871455252	0.726999998	0.957640648	0.003877466	500.9734802	4.527549744	0.000461524	0.300000012	1.144642949	-6.937302589	359.4457703	528.0210571	11801.68164	12329.70313	36.55744171	37.57068634	-5.734127522	36.17694855	31.07097054	4.282512665	0	11.28846645	41.49960709	7.87092638
Measurement 134	113136.4219	102.9702911	0.820886493	0.747006774	0.726999998	0.820884705	0.005104014	495.4372864	4.379113674	0.000446393	0.300000012	1.143170476	-7.558862209	311.5576477	603.133667	12539.29785	13142.43164	37.41210556	38.56817627	-9.899289131	36.97798538	30.47895432	4.589209557	0	11.28846645	41.59960556	7.947220326
Measurement 135	82376.35156	69.63941193	1.024341226	0.932150483	0.726999998	1.024338365	0.004594324	505.6164246	6.137883186	0.000625676	0.300000012	1.113843799	-5.720536709	331.7414856	624.5748291	8133.500977	8758.076172	26.94736671	28.05540657	-10.94423485	26.53127861	25.58817101	7.131416321	0	11.28846645	40.79960632	7.646140099
Measurement 136	77813.70313	72.30541992	0.998054624	0.908229709	0.726999998	0.998051941	0.005115861	504.8834839	6.488362789	0.000661403	0.300000012	1.113769174	-5.449735165	314.1494141	660.5765991	7797.383301	8457.959961	25.41477966	26.58317375	-13.20232105	24.97602844	24.75539207	7.810117245	0	11.28846645	40.69960785	7.652106285
Measurement 137	71129.32813	72.92308044	1.029480457	0.936827242	0.726999998	1.029477596	0.00518122	497.3070984	6.991590023	0.0007127	0.300000012	1.111151815	-6.437631607	309.8106384	660.4570923	7154.386719	7814.84375	23.17840576	24.34538269	-13.71572781	22.74018478	23.71117783	8.451314926	0	11.28846645	40.59960938	7.662798405
Measurement 138	70137.49219	62.58885956	1.054246306	0.959364116	0.726999998	1.054243207	0.005079208	504.1246643	7.187663078	0.000732687	0.300000012	1.116056323	-5.383840084	315.0438538	677.8588867	6687.736328	7365.595215	22.84746361	24.01078987	-14.87394333	22.41061592	24.30032921	9.203042984	0	11.28846645	40.49960709	7.68286562
Measurement 139	63149.84766	67.15188599	1.211253882	1.102241039	0.726999998	1.211249828	0.004279343	504.80896	7.993827343	0.000814865	0.300000012	1.119341731	-5.38404417	343.4590454	623.2563477	6235.396973	6858.65332	20.52239037	21.59091949	-14.93070412	20.12113953	24.84837341	9.087153435	0	11.28846645	40.3996048	7.712282658
Measurement 140	129362.0625	28.69459534	0.941286206	0.856570363	0.726999998	0.941283763	0.003384816	493.9616699	3.81844306	0.00038924	0.300000012	1.117070913	-6.187642098	382.013855	517.5580444	7042.153809	7559.711914	43.02869034	43.96873474	6.916937828	42.6756897	28.65464973	6.846267223	0	11.28846645	40.29960632	7.746431828
Measurement 141	86421.5625	70.86727142	1.258367419	1.145114422	0.726999998	1.258363128	0.002845744	495.8382263	5.737436295	0.000584856	0.300000012	1.144928694	-6.116134644	417.4188843	480.4971313	8369.538086	8850.035156	28.31030846	29.17388916	-7.86284256	27.98602104	31.17918587	5.429324627	0	11.28846645	40.19960403	7.786815167
Measurement 142	76488.76563	79.83914948	1.131368995	1.029545784	0.726999998	1.131365538	0.004040264	503.6435852	6.584542751	0.000671207	0.300000012	1.109403014	-5.646361351	353.0667419	586.253418	7770.135742	8356.389648	24.97066307	26.00771523	-10.4052515	24.58123398	25.52640152	7.015630722	0	11.18846607	40.8996048	7.664674282
Measurement 143	69030.73438	88.98072815	1.161431551	1.056902766	0.726999998	1.161427856	0.004268064	506.0203857	7.330363274	0.000747234	0.300000012	1.113609791	-5.913928509	344.3249817	603.248291	7328.202148	7931.450195	22.47844505	23.54684448	-11.80059433	22.0772438	24.0524044	7.605775833	0	11.18846607	40.99960709	7.683162212
Measurement 144	73971.0625	75.45444489	1.06689322	0.970872819	0.726999998	1.066890121	0.00471218	505.1650696	6.82922554	0.000696149	0.300000012	1.116660237	-5.715360642	327.4203796	640.5909424	7368.280762	8008.871582	24.12787437	25.24953651	-13.1945467	23.70667267	24.91735077	7.99851656	0	11.18846607	41.09960556	7.706319809
Measurement 145	74893.66406	79.33837128	0.965141535	0.878278792	0.726999998	0.965139091	0.00567317	503.9190369	6.728459835	0.000685878	0.300000012	1.107728243	-6.202040196	298.0351563	696.3551636	7618.791992	8315.146484	24.43653679	25.6657505	-13.63911724	23.97494698	23.24625969	8.374538422	0	11.18846607	41.19960785	7.738044739
Measurement 146	164258.8281	33.3116684	0.910495341	0.828550756	0.726999998	0.910493076	0.002910966	504.695282	3.072561026	0.000313207	0.300000012	1.125854015	-6.323996544	416.3859558	441.4356079	9422.135742	9863.571289	55.3486824	56.22986603	19.81902695	55.01778412	30.03983688	4.475413799	0	11.18846607	41.29960632	7.776058674
Measurement 147	79324.89844	76.53481293	1.052567124	0.957836092	0.726999998	1.052564144	0.004502135	503.773407	6.35076046	0.000647376	0.300000012	1.108445168	-5.464399338	334.5094299	621.3850708	8061.918457	8683.302734	25.92184067	27.01670837	-10.43954754	25.51070023	24.87124252	7.156091213	0	11.18846607	40.79960632	7.658632278
Measurement 148	75374.78906	74.8094101	1.016616941	0.925121427	0.726999998	1.016614199	0.005051505	501.0364075	6.647268295	0.000677601	0.300000012	1.096104741	-6.30654192	314.9374084	646.5869751	7507.848633	8154.435547	24.59757805	25.75416946	-9.428813934	24.16326141	22.11503601	7.92926693	0	11.18846607	40.69960785	7.666248322
Measurement 149	75991.75781	64.6472168	0.981324673	0.893005431	0.726999998	0.98132205	0.005412296	504.2911377	6.636129379	0.000676466	0.300000012	1.104507566	-6.403576851	305.2459106	687.0992432	7134.516602	7821.615234	24.80417252	26.00523758	-12.19473553	24.35315323	23.12232971	8.784620285	0	11.18846607	40.59960938	7.680808067
Measurement 150	73109.50781	63.06100082	1.032078385	0.939191341	0.726999998	1.032075524	0.005087143	504.4067078	6.899331093	0.000703296	0.300000012	1.109056234	-5.39071703	314.8860779	673.6080322	6864.611328	7538.21875	23.83981514	25.00437355	-13.39715576	23.40250206	23.97293091	8.935903549	0	11.18846607	40.49960709	7.702388763
Measurement 151	65193.54688	79.08305359	1.212903261	1.103742003	0.726999998	1.212899208	0.004129211	504.2329407	7.734399319	0.00078842	0.300000012	1.120454431	-5.468436241	349.4476318	608.7902222	6734.885742	7343.675781	21.20124435	22.25026131	-14.0775032	20.80731964	25.17616463	8.289993286	0	11.18846607	40.3996048	7.733345509
Measurement 152	63522.39453	86.14616394	1.346760392	1.225551963	0.726999998	1.346755505	0.003398413	498.5291138	7.848085403	0.000800009	0.300000012	1.148832083	-5.854390144	383.0074463	537.8939209	6517.124023	7055.018066	20.64606285	21.59233856	-14.46171474	20.29072189	27.69942665	7.624273777	0	11.18846607	40.29960632	7.771355629
Measurement 153	75491.77344	81.60453796	1.03155601	0.938715935	0.726999998	1.031553149	0.004941754	505.4452209	6.69536829	0.000682504	0.300000012	1.098994732	-5.234498024	319.8132629	648.9607544	7827.507324	8476.46875	24.63674545	25.78572464	-10.88838387	24.20528603	23.2050209	7.656027317	0	11.0884676	40.8996048	7.692173004
Measurement 154	73218.07813	77.57952118	1.005213738	0.914744496	0.726999998	1.005210996	0.00533625	502.6655273	6.865319729	0.000699829	0.300000012	1.099310517	-5.804986954	306.9173584	670.0258179	7365.975098	8036.000488	23.87610435	25.06677628	-10.96228981	23.42898941	21.99861717	8.337802887	0	11.0884676	40.99960709	7.712178707
Measurement 155	74287.75781	76.55905151	0.95279485	0.867043376	0.726999998	0.952792466	0.005797437	497.8058777	6.701049328	0.000683084	0.300000012	1.092734575	-5.41907835	293.0299377	687.8508301	7472.879883	8160.730957	24.2338028	25.46884727	-11.13388443	23.77002335	21.5459404	8.428790093	0	11.0884676	41.09960556	7.735316753
Measurement 156	75567.57031	75.63413239	0.991639793	0.902392209	0.726999998	0.991637111	0.005323848	503.7055969	6.665631294	0.000679473	0.300000012	1.095788002	-5.319800377	307.5923767	670.4517822	7633.109375	8303.561523	24.66212463	25.85264206	-10.95485115	24.215065	22.47682953	8.074268341	0	11.0884676	40.79960632	7.688939095
Measurement 157	71965.67969	73.88928986	0.97669369	0.888791263	0.726999998	0.976691127	0.00577216	504.5316772	7.010725975	0.000714651	0.300000012	1.086524248	-5.840801716	295.6480408	698.3859253	7121.820313	7820.206543	23.45764732	24.69829369	-10.40851879	22.99176598	20.57206917	8.930529594	0	11.0884676	40.69960785	7.69726181
Measurement 158	68847.07031	74.36947632	0.975388765	0.88760376	0.726999998	0.975386202	0.006022363	502.2450256	7.295082092	0.000743637	0.300000012	1.105503917	-6.20487833	288.7848206	718.0683594	6797.316406	7515.384766	22.41723442	23.6816082	-15.58474445	21.94244194	22.57767868	9.554645538	0	11.0884676	40.59960938	7.711050987
Measurement 159	69007.24219	72.04759216	1.033027172	0.940054774	0.726999998	1.033024311	0.005358703	502.4414978	7.2809968	0.000742202	0.300000012	1.109277129	-5.445941448	306.2054749	678.5184937	6813.553223	7492.071777	22.47061539	23.66352272	-15.20579147	22.0226593	23.68832207	9.056487083	0	11.0884676	40.49960709	7.73347044
Measurement 160	69115.16406	71.28973389	1.198180199	1.090343952	0.726999998	1.198176384	0.004014087	507.1211548	7.33733511	0.000747945	0.300000012	1.091042876	-5.715052128	355.4368896	579.2074585	6888.943848	7468.151367	22.50658607	23.5438385	-7.328665733	22.1170826	21.63827324	7.755700588	0	11.0884676	40.3996048	7.767539978
