New Report																																																						
----------																																																						
	Ap [µm²]	Ap [µm²]	CIT [%]	CIT [%]	E* [MPa]	E* [MPa]	EIT [MPa]	EIT [MPa]	Epsilon	Epsilon	Er [MPa]	Er [MPa]	F/S² [µm²/µN]	F/S² [µm²/µN]	Fmax [µN]	Fmax [µN]	HIT [kPa]	HIT [kPa]	HVIT [Vickers]	HVIT [Vickers]	Poisson's ratio (?)	Poisson's ratio (?)	R2	R2	RIT [%]	RIT [%]	S [µN/µm]	S [µN/µm]	Welast [pJ]	Welast [pJ]	Wplast [pJ]	Wplast [pJ]	Wtotal [pJ]	Wtotal [pJ]	hc [µm]	hc [µm]	hmax [µm]	hmax [µm]	hp [µm]	hp [µm]	hr [µm]	hr [µm]	m	m	nIT [%]	nIT [%]	Temperature [°C]	Temperature [°C]	X position [mm]	X position [mm]	Y position [mm]	Y position [mm]	Z position [mm]	Z position [mm]
Measurement 105		91163.859		94.794		1.38		1.256		0.727		1.38		0.002		497.057		5.452		0.001		0.3		1.29		-5.302		470.231		402.888		9676.112		10079.001		29.913		30.682		-13.078		29.625		41.398		3.997		0		11.935		37.365		8.989
Measurement 106		84822.945		122.923		1.447		1.316		0.727		1.447		0.002		499.748		5.892		0.001		0.3		1.332		-5.622		475.388		416.54		9792.709		10209.249		27.771		28.535		-17.084		27.484		43.396		4.08		0		11.935		37.465		8.993
Measurement 107		80920.305		101.812		1.45		1.32		0.727		1.45		0.002		500.233		6.182		0.001		0.3		1.201		-6.109		465.549		425.758		8854.926		9280.684		26.458		27.239		-10.682		26.164		35.292		4.588		0		11.935		37.165		8.993
Measurement 108		82293.484		88.619		1.431		1.302		0.727		1.431		0.002		502.997		6.112		0.001		0.3		1.19		-5.815		463.176		423.888		8589.463		9013.351		26.919		27.709		-9.284		26.623		34.064		4.703		0		11.935		37.065		9.011
Measurement 109		82840.68		89.129		1.431		1.302		0.727		1.431		0.002		504.139		6.086		0.001		0.3		1.153		-5.072		464.755		433.984		8672.524		9106.508		27.104		27.892		-6.073		26.807		31.312		4.766		0		11.935		36.965		9.03
Measurement 110		84147.406		98.815		1.398		1.273		0.727		1.398		0.002		498.671		5.926		0.001		0.3		1.195		-5.557		457.722		429.964		9133.135		9563.099		27.544		28.336		-10.26		27.246		35.427		4.496		0		11.935		36.865		9.057
Measurement 111		62405.867		64.093		1.218		1.108		0.727		1.218		0.004		498.57		7.989		0.001		0.3		1.148		-5.619		343.326		620.385		5615.84		6236.225		20.275		21.331		-18.395		19.879		27.356		9.948		0		11.335		37.265		8.776
Measurement 112		67924.391		58.035		1.262		1.148		0.727		1.262		0.004		501.073		7.377		0.001		0.3		1.137		-5.084		371.011		582.086		6106.334		6688.421		22.11		23.092		-13.436		21.741		27.046		8.703		0		11.335		37.365		8.777
Measurement 113		74062.289		67.066		1.109		1.009		0.727		1.109		0.004		498.165		6.726		0.001		0.3		1.118		-5.381		340.58		613.201		6998.504		7611.705		24.158		25.222		-11.536		23.759		25.13		8.056		0		11.335		37.465		8.785
Measurement 114		82621.93		63.217		1.125		1.024		0.727		1.125		0.004		503.465		6.094		0.001		0.3		1.138		-5.548		365.005		568.467		7568.994		8137.46		27.03		28.033		-12.389		26.653		29.305		6.986		0		11.335		37.565		8.802
Measurement 115		75296.734		80.238		1.33		1.21		0.727		1.33		0.003		498.824		6.625		0.001		0.3		1.137		-5.581		411.712		500.965		7661.925		8162.891		24.571		25.452		-9.868		24.241		29.152		6.137		0		11.335		37.665		8.825
Measurement 116		70116.852		93.575		1.342		1.221		0.727		1.342		0.003		501.532		7.153		0.001		0.3		1.125		-5.847		400.858		509.73		7588.687		8098.417		22.841		23.75		-10.473		22.499		27.354		6.294		0		11.335		37.765		8.858
Measurement 117		69917.531		93.895		1.418		1.291		0.727		1.418		0.003		496.904		7.107		0.001		0.3		1.12		-5.455		423.202		473.734		7475.775		7949.509		22.774		23.628		-8.73		22.454		27.558		5.959		0		11.335		37.865		8.898
Measurement 118		75080.625		100.355		1.417		1.29		0.727		1.417		0.003		498.165		6.635		0.001		0.3		1.132		-5.981		438.194		445.996		8127.198		8573.192		24.499		25.326		-7.097		24.189		28.519		5.202		0		11.335		37.965		8.944
Measurement 119		98757.516		89.434		1.153		1.049		0.727		1.153		0.003		500.99		5.073		0.001		0.3		1.165		-5.994		408.87		471.342		10148.567		10619.909		32.491		33.382		-7.768		32.157		33.584		4.438		0		11.335		38.065		8.992
Measurement 120		111026.914		88.173		0.852		0.775		0.727		0.852		0.005		496.807		4.475		0		0.3		1.092		-6.467		320.207		595.604		11506.568		12102.172		36.687		37.815		-2.234		36.263		25.813		4.921		0		11.335		38.165		9.048
Measurement 121		114443.977		108.086		0.699		0.636		0.727		0.699		0.007		497.121		4.344		0		0.3		1.094		-7.219		266.925		719.326		12811.107		13530.434		37.862		39.216		-6.175		37.354		24.373		5.316		0		11.335		38.265		9.109
Measurement 122		149063.438		105.733		0.455		0.414		0.727		0.455		0.013		496.972		3.334		0		0.3		1.101		-8.581		198.188		1012.461		16875.25		17887.711		49.943		51.766		-10.239		49.258		24.727		5.66		0		11.335		38.365		9.171
Measurement 123		58002.797		63.938		1.348		1.227		0.727		1.348		0.004		501.368		8.644		0.001		0.3		1.167		-5.591		366.358		612.428		5498.934		6111.362		18.817		19.812		-20.011		18.443		29.099		10.021		0		11.335		37.165		8.783
Measurement 124		57145.684		53.268		1.64		1.492		0.727		1.64		0.003		497.821		8.711		0.001		0.3		1.164		-5.21		442.295		483.062		4919.732		5402.794		18.534		19.352		-14.435		18.226		30.018		8.941		0		11.335		37.065		8.799
Measurement 125		53547.527		65.749		1.645		1.497		0.727		1.645		0.003		498.594		9.311		0.001		0.3		1.164		-4.806		429.397		504.825		4979.39		5484.215		17.346		18.19		-15.527		17.029		29.037		9.205		0		11.335		36.965		8.817
Measurement 126		80842.219		52.74		0.942		0.858		0.727		0.942		0.005		500.497		6.191		0.001		0.3		1.119		-5.615		302.331		729.259		7170.604		7899.862		26.432		27.635		-13.849		25.98		25.059		9.231		0		11.335		36.765		8.866
Measurement 127		77907.477		60.704		1.074		0.977		0.727		1.074		0.004		499.218		6.408		0.001		0.3		1.143		-5.421		338.107		622.694		7157.523		7780.217		25.446		26.52		-14.772		25.043		27.966		8.004		0		11.335		36.665		8.906
Measurement 128		73829.148		69.101		1.306		1.188		0.727		1.306		0.003		498.067		6.746		0.001		0.3		1.186		-5.084		400.316		508.946		7116.353		7625.299		24.08		24.985		-16.084		23.741		33.009		6.674		0		11.335		36.565		8.952
Measurement 129		74383.367		84.632		1.637		1.49		0.727		1.637		0.002		503.046		6.763		0.001		0.3		1.384		-5.619		503.79		395.144		7907.744		8302.889		24.266		24.992		-20.364		23.993		45.422		4.759		0		11.335		36.465		9.003
Measurement 130		79519.055		92.304		1.781		1.621		0.727		1.781		0.002		500.227		6.291		0.001		0.3		1.673		-6.034		566.636		328.101		8664.177		8992.278		25.987		26.629		-22.765		25.746		55.951		3.649		0		11.335		36.365		9.056
Measurement 131		87654.922		85.734		1.893		1.723		0.727		1.893		0.001		498.264		5.684		0.001		0.3		2.085		-5.562		632.491		284.569		8926.359		9210.928		28.727		29.299		-21.635		28.512		64.656		3.089		0		11.335		36.265		9.106
Measurement 132		99110.289		65.026		1.235		1.124		0.727		1.235		0.003		502.156		5.067		0.001		0.3		1.374		-5.638		438.599		448.523		9486.77		9935.293		32.611		33.444		-16.969		32.299		44.032		4.514		0		11.335		36.165		9.151
Measurement 133		87723.656		41.664		0.554		0.504		0.727		0.554		0.015		503.503		5.74		0.001		0.3		1.178		-6.333		185.078		1285.592		7461.188		8746.78		28.75		30.728		-49.042		28.007		29.322		14.698		0		11.235		37.265		8.757
Measurement 134		49366.598		74.005		1.34		1.219		0.727		1.34		0.004		500.415		10.137		0.001		0.3		1.12		-5.068		335.974		625.501		4896.324		5521.826		15.969		17.052		-18.967		15.562		24.183		11.328		0		11.235		37.365		8.772
Measurement 135		69457.727		60.288		0.967		0.88		0.727		0.967		0.006		498.46		7.176		0.001		0.3		1.107		-5.753		287.695		734.369		6101.895		6836.264		22.621		23.88		-15.59		22.148		22.781		10.742		0		11.235		37.465		8.777
Measurement 136		91400.57		50.018		0.734		0.668		0.727		0.734		0.008		497.02		5.438		0.001		0.3		1.126		-5.708		250.396		896.377		7900.319		8796.696		29.993		31.436		-18.331		29.451		25.072		10.19		0		11.235		37.565		8.787
Measurement 137		104778.414		46.93		0.704		0.641		0.727		0.704		0.008		496.537		4.739		0		0.3		1.121		-6.039		257.247		875.19		8766.234		9641.424		34.545		35.949		-14.722		34.018		26.251		9.077		0		11.235		37.665		8.81
Measurement 138		96334.102		53.548		0.799		0.728		0.727		0.799		0.006		497.797		5.167		0.001		0.3		1.097		-5.456		279.997		816.334		8436.448		9252.781		31.667		32.959		-9.291		31.182		23.765		8.823		0		11.235		37.765		8.845
Measurement 139		83602.945		69.943		0.985		0.896		0.727		0.985		0.005		502.679		6.013		0.001		0.3		1.085		-6.001		321.221		646.261		8066.236		8712.496		27.36		28.498		-5.512		26.933		21.733		7.418		0		11.235		37.865		8.891
Measurement 140		76539.57		86.495		1.248		1.136		0.727		1.248		0.003		502.496		6.565		0.001		0.3		1.094		-5.638		389.566		519.752		7905.871		8425.622		24.988		25.925		-5.696		24.636		24.515		6.169		0		11.235		37.965		8.945
Measurement 141		93362.758		78.569		1.231		1.12		0.727		1.231		0.003		499.613		5.351		0.001		0.3		1.134		-5.425		424.456		452.184		9284.896		9737.08		30.658		31.514		-4.468		30.337		30.569		4.644		0		11.235		38.065		9
Measurement 142		100272.813		99.551		1.071		0.974		0.727		1.071		0.003		496.751		4.954		0.001		0.3		1.109		-5.641		382.518		494.158		10886.635		11380.792		33.007		33.951		-2.198		32.653		27.836		4.342		0		11.235		38.165		9.062
Measurement 143		111915.953		95.902		0.749		0.682		0.727		0.749		0.006		499.895		4.467		0		0.3		1.08		-7.231		282.876		693.724		12184.54		12878.264		36.992		38.277		-1.472		36.51		22.493		5.387		0		11.235		38.265		9.128
Measurement 144		68488.617		44.45		0.965		0.878		0.727		0.965		0.006		499.358		7.291		0.001		0.3		1.118		-5.367		284.947		773.74		5525.453		6299.193		22.298		23.572		-18.651		21.819		24.093		12.283		0		11.235		37.165		8.775
Measurement 145		50726.23		68.66		1.372		1.248		0.727		1.372		0.004		498.729		9.832		0.001		0.3		1.149		-5.106		348.627		613.386		4872.612		5485.998		16.416		17.456		-20.755		16.026		26.711		11.181		0		11.235		37.065		8.792
Measurement 146		57927.273		61.013		1.109		1.009		0.727		1.109		0.006		498.52		8.606		0.001		0.3		1.137		-5.455		301.051		725.891		5362.779		6088.669		18.792		19.996		-22.583		18.34		25.713		11.922		0		11.235		36.965		8.811
Measurement 147		55312.316		75.846		1.237		1.126		0.727		1.237		0.005		500.409		9.047		0.001		0.3		1.122		-5.161		328.229		634.542		5547.891		6182.433		17.928		19.036		-17.973		17.512		24.275		10.264		0		11.235		36.865		8.837
Measurement 148		74024.07		58.712		0.932		0.848		0.727		0.932		0.006		501.561		6.776		0.001		0.3		1.124		-6.237		286.237		747.749		6975.345		7723.094		24.146		25.419		-17.21		23.667		24.328		9.682		0		11.235		36.765		8.865
Measurement 149		72335.844		63.453		1.118		1.017		0.727		1.118		0.004		496.829		6.868		0.001		0.3		1.142		-5.905		339.159		602.082		6814.395		7416.477		23.581		24.646		-16.002		23.181		27.748		8.118		0		11.235		36.665		8.906
Measurement 150		70918.516		76.829		1.39		1.265		0.727		1.39		0.003		497.963		7.022		0.001		0.3		1.227		-5.434		417.685		484.017		7118.086		7602.104		23.108		23.975		-19.686		22.783		36.622		6.367		0		11.235		36.565		8.954
Measurement 151		73835.125		95.652		1.545		1.406		0.727		1.545		0.002		502.623		6.807		0.001		0.3		1.335		-6.081		473.66		427.007		8205.156		8632.163		24.082		24.854		-21.49		23.793		43.674		4.947		0		11.235		36.465		9.006
Measurement 152		86802.008		80.895		1.498		1.363		0.727		1.498		0.002		502.939		5.794		0.001		0.3		1.487		-5.454		497.931		384.197		8808.525		9192.723		28.439		29.173		-20.371		28.163		49.05		4.179		0		11.235		36.365		9.06
Measurement 153		88470.469		84.084		1.55		1.41		0.727		1.55		0.002		498.93		5.64		0.001		0.3		1.509		-5.57		520.145		369.149		9146.384		9515.533		29.002		29.699		-17.974		28.74		49.701		3.879		0		11.235		36.265		9.112
Measurement 154		56477.328		62.228		1.087		0.989		0.727		1.087		0.006		503.806		8.92		0.001		0.3		1.089		-5.879		291.507		707.405		5350.486		6057.891		18.313		19.569		-16.743		17.841		21.011		11.677		0		11.135		37.265		8.774
Measurement 155		59122.859		60.574		1.177		1.071		0.727		1.177		0.005		496.092		8.391		0.001		0.3		1.109		-5.648		322.952		637.095		5528.734		6165.829		19.188		20.304		-15.109		18.768		23.054		10.333		0		11.135		37.365		8.775
Measurement 156		63143.789		61.914		1.175		1.069		0.727		1.175		0.005		504.509		7.99		0.001		0.3		1.117		-5.6		333.118		638.549		5908.165		6546.714		20.52		21.621		-15.748		20.107		24.674		9.754		0		11.135		37.465		8.783
Measurement 157		71441.367		65.649		1.06		0.964		0.727		1.06		0.005		495.786		6.94		0.001		0.3		1.105		-5.864		319.592		622.619		6411.234		7033.854		23.283		24.41		-10.885		22.859		22.752		8.852		0		11.135		37.565		8.8
Measurement 158		71814.508		70.337		1.149		1.045		0.727		1.149		0.004		502.551		6.998		0.001		0.3		1.102		-5.894		347.352		578.687		6975.101		7553.789		23.407		24.459		-9.302		23.012		23.335		7.661		0		11.135		37.665		8.824
Measurement 159		72490.953		78.675		1.122		1.021		0.727		1.122		0.004		498.085		6.871		0.001		0.3		1.084		-5.591		340.736		588.267		7374.958		7963.225		23.633		24.696		-6.38		23.234		21.258		7.387		0		11.135		37.765		8.858
Measurement 160		72967.758		88.154		1.094		0.996		0.727		1.094		0.004		498.354		6.83		0.001		0.3		1.084		-6.495		333.472		589.534		7751.48		8341.015		23.792		24.879		-6.888		23.384		21.257		7.068		0		11.135		37.865		8.902
Measurement 161		78965.586		88.235		1.119		1.018		0.727		1.119		0.004		503.003		6.37		0.001		0.3		1.08		-6.325		354.767		559.514		8482.726		9042.239		25.801		26.832		-3.887		25.414		21.666		6.188		0		11.135		37.965		8.955
Measurement 162		93657.938		81.611		1.183		1.077		0.727		1.183		0.003		496.603		5.302		0.001		0.3		1.094		-6.362		408.569		463.436		9179.52		9642.955		30.758		31.642		0.86		30.426		25.325		4.806		0		11.135		38.065		9.018
Measurement 163		101087.078		98.009		1.116		1.015		0.727		1.116		0.003		494.866		4.895		0		0.3		1.088		-6.095		400.286		466.823		10889.291		11356.114		33.285		34.184		1.566		32.947		26.384		4.111		0		11.135		38.165		9.086
Measurement 164		65252.551		45.88		1.031		0.938		0.727		1.031		0.006		502.531		7.701		0.001		0.3		1.11		-5.636		297.101		732.701		5347.916		6080.616		21.221		22.451		-15.716		20.759		22.565		12.05		0		11.135		37.165		8.78
Measurement 165		61281.469		51.277		0.968		0.881		0.727		0.968		0.007		502.041		8.192		0.001		0.3		1.097		-5.871		270.409		783.178		5145.01		5928.188		19.903		21.252		-18.826		19.396		21.587		13.211		0		11.135		37.065		8.795
Measurement 166		67643.617		46.77		0.917		0.834		0.727		0.917		0.007		502.031		7.422		0.001		0.3		1.108		-5.124		269.068		813.623		5645.242		6458.865		22.016		23.373		-19.738		21.507		23.105		12.597		0		11.135		36.965		8.815
Measurement 167		62145.262		58.985		1.043		0.949		0.727		1.043		0.006		497.969		8.013		0.001		0.3		1.105		-5.294		293.456		704.269		5517.375		6221.643		20.189		21.423		-17.047		19.726		22.671		11.32		0		11.135		36.865		8.844
Measurement 168		79621.633		48.998		0.908		0.826		0.727		0.908		0.006		500.369		6.284		0.001		0.3		1.114		-5.73		289.089		737.137		6797.178		7534.314		26.021		27.28		-14.917		25.549		24.379		9.784		0		11.135		36.765		8.874
Measurement 169		72117.406		65.441		1.105		1.005		0.727		1.105		0.004		496.801		6.889		0.001		0.3		1.149		-5.483		334.815		606.395		6834.668		7441.064		23.508		24.587		-17.45		23.103		28.331		8.149		0		11.135		36.665		8.918
Measurement 170		79501.844		72.603		1.184		1.077		0.727		1.184		0.004		501.017		6.302		0.001		0.3		1.2		-5.836		376.613		534.432		7802.255		8336.687		25.981		26.948		-18.808		25.618		34.395		6.411		0		11.135		36.565		8.966
Measurement 171		88717.531		70.133		1.244		1.132		0.727		1.244		0.003		500.66		5.643		0.001		0.3		1.307		-5.633		417.988		465.977		8459.527		8925.504		29.086		29.956		-20.003		28.759		41.71		5.221		0		11.135		36.465		9.02
Measurement 172		63311.781		62.426		1.073		0.977		0.727		1.073		0.005		501.891		7.927		0.001		0.3		1.086		-4.822		304.777		663.714		5943.474		6607.188		20.576		21.773		-12.349		20.127		20.721		10.045		0		11.035		37.265		8.787
Measurement 173		67724.398		62.977		1.049		0.954		0.727		1.049		0.005		502.473		7.419		0.001		0.3		1.099		-5.184		307.954		663.667		6396.787		7060.454		22.043		23.229		-12.964		21.598		22.182		9.4		0		11.035		37.365		8.787
Measurement 174		65057.789		70.211		1.153		1.049		0.727		1.153		0.005		502.131		7.718		0.001		0.3		1.111		-5.793		331.86		617.575		6452.759		7070.333		21.156		22.256		-14.212		20.743		24.102		8.735		0		11.035		37.465		8.798
Measurement 175		63921.805		81.322		1.068		0.972		0.727		1.068		0.005		498.813		7.803		0.001		0.3		1.086		-6.153		304.58		648.841		6579.872		7228.713		20.779		21.969		-12.625		20.332		21.124		8.976		0		11.035		37.565		8.813
Measurement 176		79591.5		63.539		0.951		0.865		0.727		0.951		0.005		501.695		6.303		0.001		0.3		1.09		-6.144		302.658		663.669		7488.776		8152.444		26.011		27.216		-8.978		25.559		21.835		8.141		0		11.035		37.665		8.838
Measurement 177		79931.938		72.823		0.918		0.836		0.727		0.918		0.006		497.739		6.227		0.001		0.3		1.07		-5.971		292.993		666.842		7918.675		8585.518		26.126		27.361		-5.803		25.662		19.522		7.767		0		11.035		37.765		8.874
Measurement 178		80848.695		80.584		1.006		0.915		0.727		1.006		0.005		501.571		6.204		0.001		0.3		1.071		-6.54		322.652		620.306		8410.911		9031.217		26.434		27.564		-3.515		26.009		19.992		6.868		0		11.035		37.865		8.92
Measurement 179		75619.938		48.8		0.841		0.766		0.727		0.841		0.007		497.279		6.576		0.001		0.3		1.085		-5.781		261.105		779.776		6052.296		6832.073		24.68		26.064		-14.201		24.16		21.142		11.413		0		11.035		37.165		8.792
Measurement 180		59580.039		54.957		1.061		0.965		0.727		1.061		0.006		500.818		8.406		0.001		0.3		1.098		-5.931		292.214		719.069		5298.526		6017.596		19.339		20.585		-17.743		18.871		22.363		11.949		0		11.035		37.065		8.81
Measurement 181		61262.477		60.285		0.973		0.885		0.727		0.973		0.007		503.671		8.222		0.001		0.3		1.076		-5.999		271.757		765.292		5734.976		6500.268		19.896		21.244		-15.414		19.39		19.779		11.773		0		11.035		36.965		8.832
Measurement 182		62677.758		59.616		1.031		0.938		0.727		1.031		0.006		499.57		7.97		0.001		0.3		1.11		-5.654		291.154		708.571		5733.429		6442.001		20.366		21.613		-18.54		19.897		23.401		10.999		0		11.035		36.865		8.863
Measurement 183		93256.016		36.66		0.826		0.751		0.727		0.826		0.006		498.069		5.341		0.001		0.3		1.092		-5.37		284.501		716.007		6489.855		7205.862		30.622		31.895		-8.014		30.144		22.796		9.936		0		11.035		36.765		8.898
Measurement 184		71995.094		69.686		1.06		0.965		0.727		1.06		0.005		498.384		6.922		0.001		0.3		1.142		-6.492		321.072		630.042		7167.826		7797.869		23.467		24.596		-17.149		23.044		26.893		8.08		0		11.035		36.665		8.942
Measurement 185		98993.242		44.983		0.652		0.593		0.727		0.652		0.009		503.865		5.09		0.001		0.3		1.072		-6.459		231.325		908.132		7974.832		8882.963		32.571		34.155		-7.666		31.977		19.2		10.223		0		10.935		37.265		8.803
Measurement 186		89731.414		52.629		0.766		0.697		0.727		0.766		0.008		503.005		5.606		0.001		0.3		1.079		-6.549		258.93		808.305		7791.708		8600.014		29.428		30.841		-8.297		28.898		20.147		9.399		0		10.935		37.365		8.808
Measurement 187		93032.555		51.033		0.765		0.696		0.727		0.765		0.007		497.69		5.35		0.001		0.3		1.08		-6.046		263.204		801.65		8039.246		8840.896		30.546		31.921		-7.631		30.03		20.917		9.068		0		10.935		37.465		8.815
Measurement 188		87249.109		61.111		0.813		0.74		0.727		0.813		0.007		502.123		5.755		0.001		0.3		1.079		-5.76		270.938		765.701		7975.406		8741.107		28.59		29.937		-8.456		28.084		20.716		8.76		0		10.935		37.565		8.835
Measurement 189		70085.781		66.795		0.917		0.834		0.727		0.917		0.007		502.081		7.164		0.001		0.3		1.084		-6.06		273.869		733.906		6717.427		7451.332		22.83		24.163		-13.238		22.33		20.401		9.849		0		10.935		37.165		8.82
Measurement 190		62746.969		67.569		1.024		0.932		0.727		1.024		0.006		497.536		7.929		0.001		0.3		1.08		-5.706		289.54		700.341		5989.001		6689.341		20.389		21.638		-13.616		19.92		20.516		10.469		0		10.935		37.065		8.839
Measurement 191		62304.516		63.386		1.067		0.971		0.727		1.067		0.006		503.547		8.082		0.001		0.3		1.069		-5.331		300.518		671.439		5983.089		6654.528		20.242		21.46		-11.449		19.784		19.64		10.09		0		10.935		36.965		8.865
Measurement 192		64949.824		63.487		1.047		0.953		0.727		1.047		0.005		498.324		7.672		0.001		0.3		1.083		-6.107		301.055		656.737		6164.645		6821.382		21.12		22.324		-11.782		20.668		20.605		9.628		0		10.935		36.865		8.897
